STUDENTID,label,holdout,data_length,kappa_mean,kappa_min,auc_mean,auc_min,pred
2333000033,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.707154761904762
2333000882,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.59
2333000955,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.4
2333001552,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.765
2333001935,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.78
2333001986,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.47758333333333347
2333002087,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.4
2333002141,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.7
2333002494,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.555
2333002672,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.715
2333002923,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.455
2333003024,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.735
2333003181,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.39
2333003245,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.61
2333003695,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.685
2333003776,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.63
2333003971,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.5851071428571429
2333004276,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.7
2333004381,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.5967380952380952
2333004578,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.5663095238095236
2333004721,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.3106190476190476
2333005566,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.69
2333005825,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.655
2333006503,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.48
2333008034,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.65
2333008239,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.38
2333008468,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.77
2333008484,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.195
2333008492,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.905
2333008565,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.545
2333008646,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.5945238095238097
2333008719,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.835
2333008816,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.755
2333008905,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.91
2333009154,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.52
2333009821,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.655
2333010772,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.775
2333011710,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.78
2333012457,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.55
2333013585,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.5506071428571427
2333013909,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.6959285714285712
2333014344,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.500202380952381
2333014689,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.445
2333014948,,0,10.0,0.11168620023823697,0.06898830747274108,0.5981953992596509,0.5506786532698749,0.585
