STUDENTID,label,holdout,feature_set,data_length,kappa_mean,kappa_min,auc_mean,auc_min,pred
2333000033,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6695402697128929
2333000882,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.775
2333000955,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5484379569290997
2333001552,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.7491616601270731
2333001935,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6524491821033513
2333001986,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6231406618939198
2333002087,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.47234548388350667
2333002141,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.8
2333002494,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5736005104042107
2333002672,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.62
2333002923,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.55
2333003024,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.715
2333003181,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6341598540725972
2333003245,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.557348782659008
2333003695,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.565
2333003776,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5853330975845336
2333003971,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5009648190654691
2333004276,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.695
2333004381,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5971228281440574
2333004578,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5091175558258069
2333004721,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6051468247720461
2333005566,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.565
2333005825,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6443093465901037
2333006503,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.845
2333008034,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.592332877817647
2333008239,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.40820899772169356
2333008468,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.715
2333008484,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.40996006559286724
2333008492,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6504294969361879
2333008565,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.675
2333008646,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6277095902355998
2333008719,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.7309551484284512
2333008816,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5840144330539919
2333008905,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.691064500476152
2333009154,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.57
2333009821,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.705
2333010772,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.675
2333011710,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.705488698374258
2333012457,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5699850536909694
2333013585,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.4745300207441793
2333013909,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.590903192923325
2333014344,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5466442977250907
2333014689,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.69
2333014948,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.57
2333015006,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.61
2333015707,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6699399385123196
2333015880,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.54
2333016134,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.435
2333016541,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5683480540980065
2333016797,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.655161131031429
2333017157,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6621226940513991
2333017327,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.655
2333017424,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.625
2333017483,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6154776201790568
2333017831,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5029423912325419
2333018331,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.45
2333018676,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.7837857315623864
2333019036,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.5888705431186145
2333019711,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.4872392825631458
2333019788,False,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6464815213042343
2333020280,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.7
2333020476,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.531961353871898
2333020905,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6408720880003507
2333021014,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.6080029269898234
2333021235,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.585
2333021260,True,0,1,10.0,0.1245979468571941,0.08332303872894292,0.606766701921382,0.576370527057994,0.7479285783449723
